OBJECTID,Shape,nombre,id_ruta,codigo,recorrido,from_date,sistema,tipo,empresa,id_gflota,longitud,fecha_actualizacion,Shape_Length
58,"(4713804.82354769, 2249101.1945694103)",Circular,90369,301 DIR-80,Origen Destino_Destino Origen,2024-08-27 00:00:00,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,,26939.342727404277,2024-11-04 05:11:05,26308.684043830985
59,"(4715784.1972055435, 2250652.0708750715)",Circular 286,90002,286,Origen Destino_Destino Origen,2024-08-27 00:00:00,Circular 286,Circular,Combuses,112487,12713.834662593474,2024-11-04 05:11:05,12690.656756892286
60,"(4713624.85359305, 2248588.1025490034)",Circular 315,90015,315,Origen Destino_Destino Origen,2022-03-28 00:00:00,Circular 315 Y 316,Circular,Santra,112497,16697.544855487904,2024-11-04 05:11:05,16525.860571940753
61,"(4713509.118472781, 2248635.2888304526)",Circular 316,90016,316,Origen Destino_Destino Origen,2022-03-28 00:00:00,Circular 315 Y 316,Circular,Santra,112507,17307.397732524943,2024-11-04 05:11:05,17052.48626965609
62,"(4714254.684950289, 2247164.125430696)",Circular derecha 303,90001,303,Origen Destino_Destino Origen,2018-08-01 00:00:00,Circular Derecha 303,Circular,Coonatra,142427,20830.080249910556,2024-11-04 05:11:05,20830.08024991511
63,"(4714204.491506349, 2247185.0341027873)",Circular izquierda 302,90003,302,Origen Destino_Destino Origen,2018-08-01 00:00:00,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,132417,21013.542950335697,2024-11-04 05:11:05,21013.54295035705
64,"(4714775.546510238, 2251912.915314767)",Clínica,90094,260CL,Origen Destino_Destino Origen,2024-08-27 00:00:00,2A,Directa Centro,Palenque Robledal,110365,17053.637489882673,2024-11-04 05:11:05,14354.102796039342
65,"(4710516.624560014, 2249741.392171045)",Colinas,90308,225i-2,Origen Destino_Destino Origen,2024-08-27 00:00:00,8A,Integrada,Metrosan,111922,3494.6744460078085,2024-11-04 05:11:05,2519.5010598360113
66,"(4714788.228875355, 2246596.0844600126)",Comercial Hotelera derecha,90009,304,Origen Destino_Destino Origen,2022-03-28 00:00:00,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Invetrans,112517,36146.60536182623,2024-11-04 05:11:05,34754.59341117798
67,"(4715003.506722177, 2246843.8438026095)",Comercial Hotelera izquierda,90010,305,Origen Destino_Destino Origen,2018-08-01 00:00:00,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Invetrans,112527,35542.931486107074,2024-11-04 05:11:05,34171.19611117645
68,"(4710270.325216811, 2249849.3109865007)",Conquistadores,90316,228i,Origen Destino_Destino Origen,2024-08-27 00:00:00,8A,Integrada,Metrosan,112002,3874.211386617976,2024-11-04 05:11:05,2849.8220161213912
69,"(4712635.131175285, 2249138.9497428443)",Corazón-Oriental,90300,203 Corazón,Origen Destino_Destino Origen,2018-08-01 00:00:00,8A,Directa Centro,Conducciones América,112275,19958.885606691918,2024-11-04 05:11:05,16303.20879319905
70,"(4712411.018210873, 2249281.6595476833)",Corazón-Plaza Minorista,90294,201B,Origen Destino_Destino Origen,2021-03-11 00:00:00,8A,Directa Centro,Conducciones América,112225,23168.79170515752,2024-11-04 05:11:05,18090.40098374871
71,"(4714900.362624137, 2251866.1884505833)",Córdoba,90095,260C,Origen Destino_Destino Origen,2024-08-27 00:00:00,2A,Directa Centro,Palenque Robledal,110355,16233.106106558655,2024-11-04 05:11:05,13147.460247659255
72,"(4710213.469318804, 2249885.9816314317)",Depósito,90310,226i-D,Origen Destino_Destino Origen,2024-08-27 00:00:00,8A,Integrada,Metrosan,111932,4165.950594384385,2024-11-04 05:11:05,2845.9126128525945
73,"(4715390.795361117, 2252557.2857911494)",Derecha Castilla - Estación Universidad,90108,261i Der,Origen Destino_Destino Origen,2018-08-01 00:00:00,2B,Integrada,Transporte Medellín Castilla,120702,10911.799533650332,2024-11-04 05:11:05,9726.851770123183
74,"(4715025.995279511, 2253907.0965330023)",Derecha - Circular Noroccidental,90126,306B,Origen Destino_Destino Origen,2024-08-27 00:00:00,2B,Integrada,Transporte Medellín Castilla,110772,15766.910665923433,2024-11-04 05:11:05,15394.974071875062
